Machine ID,Machine,Time,Parameter,Value,Failure Status
6188,Backhoe_Loader,51:51.6,Air Filter Pressure Drop,79.67504504403686,1
1324,Backhoe_Loader,40:51.6,Air Filter Pressure Drop,123.30594108315545,1
8085,Backhoe_Loader,27:51.6,Air Filter Pressure Drop,133.54092345305517,1
7559,Backhoe_Loader,42:51.6,Air Filter Pressure Drop,-20.58867219,1
1112,Backhoe_Loader,50:51.6,Air Filter Pressure Drop,-98.17436365,1
1054,Backhoe_Loader,15:51.6,Air Filter Pressure Drop,-32.447364,1
3804,Backhoe_Loader,02:51.6,Air Filter Pressure Drop,109.39473981686993,1
9782,Backhoe_Loader,54:51.6,Air Filter Pressure Drop,-212.1366532,1
5242,Backhoe_Loader,13:51.6,Air Filter Pressure Drop,13.52815062526157,1
5050,Backhoe_Loader,33:51.6,Air Filter Pressure Drop,-287.9486533,1
1973,Backhoe_Loader,24:51.6,Air Filter Pressure Drop,-93.0198562,1
9270,Backhoe_Loader,44:51.6,Air Filter Pressure Drop,316.0151654053743,1
1279,Backhoe_Loader,36:51.6,Air Filter Pressure Drop,61.65234125985921,1
8624,Backhoe_Loader,04:51.6,Air Filter Pressure Drop,210.26768853199562,1
1184,Backhoe_Loader,07:51.6,Air Filter Pressure Drop,0.078082685,1
5564,Backhoe_Loader,16:51.6,Air Filter Pressure Drop,23.379567878330533,1
3441,Backhoe_Loader,48:51.6,Air Filter Pressure Drop,-25.40604573,1
3915,Backhoe_Loader,08:51.6,Air Filter Pressure Drop,-142.2228731,1
9681,Backhoe_Loader,16:51.6,Air Filter Pressure Drop,-82.83340089,1
2216,Backhoe_Loader,49:51.6,Air Filter Pressure Drop,-98.85097002,1
8086,Backhoe_Loader,43:51.6,Air Filter Pressure Drop,31.515868036885074,1
8569,Backhoe_Loader,10:51.6,Air Filter Pressure Drop,-7.238224067,1
9941,Backhoe_Loader,35:51.6,Air Filter Pressure Drop,43.60187976160399,1
8327,Backhoe_Loader,53:51.6,Air Filter Pressure Drop,10.052244473375703,1
4815,Backhoe_Loader,00:51.6,Air Filter Pressure Drop,7.626766426369487,1
9992,Backhoe_Loader,23:51.6,Air Filter Pressure Drop,218.62048236380227,1
3006,Backhoe_Loader,27:51.6,Air Filter Pressure Drop,-103.100741,1
7074,Backhoe_Loader,43:51.6,Air Filter Pressure Drop,112.2322246976423,1
1176,Backhoe_Loader,54:51.6,Air Filter Pressure Drop,-114.0790027,1
9065,Backhoe_Loader,07:51.6,Air Filter Pressure Drop,-7.755188554,1
1428,Backhoe_Loader,01:51.6,Air Filter Pressure Drop,46.80890814892263,1
6482,Backhoe_Loader,57:51.6,Air Filter Pressure Drop,159.2343232105777,1
5528,Backhoe_Loader,02:51.6,Air Filter Pressure Drop,81.72310470688768,0
8630,Backhoe_Loader,26:51.6,Air Filter Pressure Drop,33.466714332898306,0
1378,Backhoe_Loader,24:51.6,Air Filter Pressure Drop,93.18336832857378,0
